phase,material,amount,unit,note
site prep,Tractor and sprayer,3,h,"Initial Spraying"
site prep,Glyphosate,100,[qt_us],"Initial Spraying"
site prep,Goal 2XL,125,[qt_us],"Initial Spraying"
site prep,Large tractor,20,h,"Initial Tillage"
site prep,Large tractor,10,h,"Ripping"
site prep,Large tractor,25,h,"Row Marking"
site prep,Challenger tractor,25,h,"herbicide - preemergent"
site prep,Trifluralin,50,[qt_us],"herbicide - preemergent"
planting,Semi-tractor trailer,20,h,"Transport Nursery to field"
planting,Poplar Cutting,145000,each,
planting,Cooler/van,1080,h,
planting,Laborer,40*12,h,
crop care - yr0,herbicide - establishment,25,[acr_us],
crop care - yr0,hoeing,140,[acr_us],"2 times over 70 acres each."
crop care - yr1,"Tillage",Small Tractor,48,h,
crop care - yr1,hoeing,500,[arc_us],"5 times"
crop care - yr1,herbicide - establishment,150,[arc_us],"3 times, 1/2 field"
crop care - yr1,Laborer,12*8,h,"Interplanting"
harvest - yr1,FR 6080 FH,26,h
harvest - yr1,Tandom axle truck,104,h
harvest - yr1,Support truck,26,h
crop care - post harvest,Mid-size tractor,30,h,"Post harvest clean up"
crop care - post harvest,herbicide - dormant,1,1
crop care - post harvest,herbicide - post emergent,1,1
crop care - established,hoeing,
crop care - established,herbicide - post emergent,1,1
harvest - established,FR 6080 FH,35,h
harvest - established,Tandem axle truck,175,h
harvest - established,Support Truck,35,h
restoration,disking,3,1
restoration,herbicide - restoration,2,1
