state_fips,m,b
01,0.9643,-1895.32
02,2.0262,-3983.9
04,6.8452,-13563.81
05,1.75,-3433.25
06,4.6429,-8988.21
09,2.0262,-3983.9
10,1.5024,-2949.77
11,2.0262,-3983.9
12,1.2857,-2541.18
13,1.2619,-2471.73
15,2.0262,-3983.9
16,2,-3906.25
17,2.8929,-5669.46
18,2.6548,-5212.44
19,3.4762,-6839.05
20,1.3869,-2737.6
21,1.2262,-2383.05
22,2.1024,-4147.6
23,2.0262,-3983.9
24,1.3107,-2567.8
25,2.0262,-3983.9
26,1.4762,-2894.8
27,2.0024,-3927.6
28,1.6429,-3225.96
29,2.7857,-5509.18
30,0.6417,-1260.29
31,2.5595,-5033.38
32,2.0262,-3983.9
33,2.0262,-3983.9
35,2.0262,-3983.9
36,1.1905,-2348.12
37,1.0119,-1976.85
38,0.7381,-1441.15
39,2.1845,-4296.13
40,0.244,-461.26
41,1.631,-3170.99
42,1.1369,-2234.6
44,2.0262,-3983.9
45,0.5488,-1071.45
46,2.4952,-4952.43
47,1.4048,-2750.57
48,0.4357,-844.73
49,0.7143,-1370.57
50,2.0262,-3983.9
51,1.0893,-2143.7
53,7.0833,-14009.58
54,0.631,-1235.99
55,1.0119,-1958.73
56,2.0262,-3983.9
08,0,60.453
34,0,47.578
