fips,irrigated_yield,nonirrigated_yield,irrigation
06045,31.59,15.94,290.31
16075,17.41,5.24,282.84
06017,24.65,12.26,265.94
30063,12.86,7.05,114.72
53013,18.40,10.85,199.67
06061,24.15,10.68,274.46
06051,13.64,1.97,329.78
06093,19.68,7.15,261.98
30029,10.63,6.99,79.20
30001,8.08,4.79,88.59
16039,15.64,3.96,261.93
53071,20.17,9.62,251.19
06023,30.31,16.84,240.21
16085,9.62,4.42,133.60
30039,11.18,6.31,104.94
06001,40.01,13.14,387.71
06057,22.91,11.12,260.34
41055,20.69,5.23,303.90
16027,17.80,3.86,305.30
16013,12.90,3.20,220.72
41005,22.12,16.88,116.18
16087,17.42,6.11,226.37
41041,30.11,25.68,112.96
06089,21.62,12.33,230.97
41029,21.44,9.16,236.86
41065,19.81,6.06,266.02
06019,9.98,1.57,237.47
06113,28.86,11.99,355.33
53039,19.72,6.07,283.51
41009,24.10,18.84,128.05
41019,25.23,15.94,186.47
06103,22.57,10.96,262.86
16023,11.70,3.46,195.59
30081,10.64,5.58,113.05
16045,18.16,6.54,245.11
53067,24.24,18.38,108.35
16001,17.85,4.29,297.66
30073,9.23,6.44,59.99
53011,23.15,19.89,100.46
06091,18.71,6.73,264.04
41039,25.15,17.74,152.61
16083,15.38,3.45,265.17
41063,14.45,7.68,157.67
53043,15.84,4.93,245.95
53005,21.21,4.08,328.03
30035,11.00,7.55,80.46
53059,19.84,15.04,98.42
06055,31.10,13.34,327.69
53041,20.88,17.51,87.77
16047,17.20,3.13,317.85
06005,27.27,13.08,290.84
16057,15.66,10.76,145.28
30047,14.80,8.09,119.24
32009,15.37,2.06,402.11
16015,14.53,5.63,186.26
06105,21.19,9.44,250.02
32510,0.05,0.05,0.00
41061,15.01,8.44,170.37
53049,25.24,24.71,53.75
53051,15.01,10.89,105.00
16017,15.81,10.41,113.98
32013,16.20,2.65,299.01
06003,15.64,3.43,262.76
53000,28.34,15.33,145.38
32007,13.19,3.71,227.15
41047,24.37,17.60,141.47
53021,19.99,5.13,308.65
41057,28.78,26.92,81.15
16061,16.04,11.34,138.55
41015,32.25,23.13,177.43
41007,26.29,25.15,67.79
06099,28.74,9.65,382.73
41025,15.44,3.07,278.62
41067,25.87,18.77,152.76
16021,14.98,10.14,103.18
16035,15.29,11.07,107.65
53007,17.09,5.58,193.12
30049,8.46,6.00,53.80
30099,8.50,6.13,46.50
53027,26.02,25.49,46.14
53035,26.60,16.55,116.05
06013,36.49,12.84,380.92
41051,24.45,19.81,114.87
06009,27.21,12.82,295.13
06033,27.89,12.08,310.80
16049,12.05,8.05,94.98
06115,26.99,13.72,292.06
41069,16.64,5.57,231.44
16079,16.28,11.60,100.60
06063,17.65,6.07,267.76
53055,30.06,14.04,189.35
06049,16.37,3.93,278.91
41011,30.92,22.28,170.86
16063,15.85,2.71,308.74
53019,14.03,6.56,162.85
53047,15.67,5.20,192.70
53023,18.86,10.21,207.45
53065,16.16,9.59,154.11
41017,13.78,4.37,253.40
41033,24.63,12.60,228.64
53037,17.88,4.99,227.24
41045,15.33,3.07,277.17
53063,16.45,8.59,189.59
41031,16.32,4.49,255.88
53045,24.50,19.32,78.57
53015,22.29,20.09,79.21
16003,15.14,6.59,173.91
06041,41.25,17.47,318.15
53009,23.91,18.35,67.48
53033,20.29,17.38,65.21
49003,14.48,4.41,217.33
53075,17.33,9.05,218.45
06097,35.92,16.98,313.15
53073,18.06,16.32,58.63
30023,7.16,4.00,84.93
06101,28.73,12.07,350.18
41049,19.25,6.12,266.08
06011,27.65,10.87,346.40
41059,18.24,9.20,215.99
53029,27.77,12.98,142.76
06047,27.72,9.44,370.65
06021,25.68,10.26,318.29
16055,16.90,10.59,133.68
41071,26.90,19.05,161.69
30077,11.42,6.84,94.49
06043,26.92,10.51,311.77
41023,13.71,5.08,212.04
16037,9.68,3.32,154.77
16059,10.65,4.22,146.73
16067,16.36,2.80,302.39
06007,24.81,13.23,267.70
41021,20.46,5.10,294.51
16053,16.81,3.21,307.31
30089,13.99,7.88,118.23
16031,16.27,4.80,230.05
53053,19.15,15.37,82.45
53069,25.25,24.15,62.74
06109,22.95,9.07,279.49
32005,16.31,2.07,341.04
41053,26.00,18.39,157.10
16009,15.32,10.41,134.15
30061,13.22,7.87,106.61
06067,30.54,11.98,360.86
32021,15.67,1.37,373.02
06095,32.18,12.27,366.59
06077,30.22,10.91,384.86
06081,44.04,15.50,341.59
32031,18.26,2.82,328.97
32019,14.23,1.24,326.99
53031,22.69,17.71,48.96
53061,18.99,17.62,51.12
41035,14.21,5.68,251.39
41037,14.40,3.27,275.40
41043,23.32,16.82,136.81
16025,14.20,3.96,235.08
06035,16.26,3.30,301.98
53017,18.50,3.90,285.05
06015,30.32,18.79,192.93
30053,12.51,7.44,109.68
06039,14.79,2.72,266.71
53001,17.69,4.56,284.30
16069,17.27,10.14,170.38
41013,13.48,3.07,248.97
53025,18.55,3.31,312.77
16073,15.07,3.43,266.40
53057,19.76,17.77,61.15
41027,21.06,14.06,153.47
53003,17.96,7.37,194.33
53077,18.11,4.50,263.47
41003,26.36,18.53,163.59
06075,49.59,16.04,352.68
41001,14.59,4.93,217.09
